year,home,away,p_home,p_draw,p_away,outcome,pred,stage
2010,Uruguay,Germany,0.218,0.265,0.517,2,2,Finale
2010,Netherlands,Spain,0.338,0.288,0.374,2,2,Finale
2014,Brazil,Croatia,0.749,0.169,0.082,0,0,Gironi
2014,Mexico,Cameroon,0.538,0.258,0.205,0,0,Gironi
2014,Spain,Netherlands,0.515,0.264,0.221,2,0,Gironi
2014,Chile,Australia,0.55,0.254,0.196,0,0,Gironi
2014,England,Italy,0.402,0.284,0.315,2,0,Gironi
2014,Colombia,Greece,0.487,0.271,0.242,0,0,Gironi
2014,Uruguay,Costa Rica,0.553,0.253,0.194,2,0,Gironi
2014,Ivory Coast,Japan,0.365,0.286,0.349,0,0,Gironi
2014,Argentina,Bosnia and Herzegovina,0.637,0.222,0.141,0,0,Gironi
2014,France,Honduras,0.572,0.247,0.181,0,0,Gironi
2014,Switzerland,Ecuador,0.361,0.286,0.353,0,0,Gironi
2014,Germany,Portugal,0.501,0.267,0.231,0,0,Gironi
2014,Ghana,United States,0.233,0.268,0.499,2,2,Gironi
2014,Iran,Nigeria,0.357,0.286,0.357,1,2,Gironi
2014,Belgium,Algeria,0.553,0.253,0.194,0,0,Gironi
2014,Brazil,Mexico,0.678,0.205,0.117,1,0,Gironi
2014,Russia,South Korea,0.502,0.267,0.231,1,0,Gironi
2014,Cameroon,Croatia,0.247,0.272,0.481,2,2,Gironi
2014,Australia,Netherlands,0.088,0.177,0.735,2,2,Gironi
2014,Spain,Chile,0.458,0.276,0.266,2,0,Gironi
2014,Colombia,Ivory Coast,0.478,0.273,0.25,0,0,Gironi
2014,Japan,Greece,0.374,0.285,0.34,1,0,Gironi
2014,Uruguay,England,0.315,0.284,0.401,0,2,Gironi
2014,Honduras,Ecuador,0.229,0.266,0.505,2,2,Gironi
2014,Italy,Costa Rica,0.475,0.273,0.252,2,0,Gironi
2014,Switzerland,France,0.305,0.283,0.412,2,2,Gironi
2014,Nigeria,Bosnia and Herzegovina,0.358,0.286,0.356,0,0,Gironi
2014,Argentina,Iran,0.666,0.21,0.124,0,0,Gironi
2014,Germany,Ghana,0.767,0.159,0.074,1,0,Gironi
2014,South Korea,Algeria,0.434,0.28,0.286,2,0,Gironi
2014,United States,Portugal,0.363,0.286,0.351,1,0,Gironi
2014,Belgium,Russia,0.391,0.285,0.324,0,0,Gironi
2014,Australia,Spain,0.129,0.214,0.657,2,2,Gironi
2014,Brazil,Cameroon,0.871,0.096,0.033,0,0,Gironi
2014,Croatia,Mexico,0.287,0.28,0.432,2,2,Gironi
2014,Netherlands,Chile,0.427,0.281,0.292,0,0,Gironi
2014,Costa Rica,England,0.359,0.286,0.356,1,0,Gironi
2014,Greece,Ivory Coast,0.293,0.281,0.426,0,2,Gironi
2014,Italy,Uruguay,0.351,0.286,0.364,2,2,Gironi
2014,Japan,Colombia,0.171,0.242,0.587,2,2,Gironi
2014,Bosnia and Herzegovina,Iran,0.335,0.285,0.379,0,2,Gironi
2014,Ecuador,France,0.217,0.262,0.52,1,2,Gironi
2014,Honduras,Switzerland,0.195,0.254,0.551,2,2,Gironi
2014,Nigeria,Argentina,0.137,0.22,0.644,2,2,Gironi
2014,United States,Germany,0.189,0.251,0.56,2,2,Gironi
2014,Portugal,Ghana,0.515,0.264,0.221,0,0,Gironi
2014,Algeria,Russia,0.265,0.276,0.458,1,2,Gironi
2014,South Korea,Belgium,0.155,0.232,0.613,2,2,Gironi
2014,Brazil,Chile,0.557,0.252,0.191,1,0,Ottavi
2014,Colombia,Uruguay,0.467,0.275,0.258,0,0,Ottavi
2014,Costa Rica,Greece,0.408,0.283,0.308,1,0,Ottavi
2014,Netherlands,Mexico,0.549,0.254,0.197,0,0,Ottavi
2014,France,Nigeria,0.563,0.25,0.187,0,0,Ottavi
2014,Germany,Algeria,0.784,0.15,0.066,0,0,Ottavi
2014,Argentina,Switzerland,0.585,0.242,0.172,0,0,Ottavi
2014,Belgium,United States,0.369,0.286,0.345,0,0,Ottavi
2014,Brazil,Colombia,0.443,0.279,0.278,0,0,Quarti
2014,France,Germany,0.233,0.268,0.499,2,2,Quarti
2014,Argentina,Belgium,0.515,0.264,0.221,0,0,Quarti
2014,Netherlands,Costa Rica,0.673,0.207,0.12,1,0,Quarti
2014,Brazil,Germany,0.368,0.286,0.346,2,0,Semifinali
2014,Netherlands,Argentina,0.371,0.286,0.343,1,0,Semifinali
2014,Brazil,Netherlands,0.311,0.284,0.406,2,2,Finale
2014,Germany,Argentina,0.493,0.269,0.238,0,0,Finale
2018,Russia,Saudi Arabia,0.416,0.286,0.298,0,0,Gironi
2018,Egypt,Uruguay,0.17,0.245,0.586,2,2,Gironi
2018,Morocco,Iran,0.288,0.284,0.428,2,2,Gironi
2018,Portugal,Spain,0.277,0.283,0.44,1,2,Gironi
2018,France,Australia,0.607,0.237,0.156,0,0,Gironi
2018,Argentina,Iceland,0.6,0.239,0.161,1,0,Gironi
2018,Peru,Denmark,0.468,0.278,0.254,2,0,Gironi
2018,Croatia,Nigeria,0.542,0.259,0.199,0,0,Gironi
2018,Costa Rica,Serbia,0.401,0.287,0.311,2,0,Gironi
2018,Germany,Mexico,0.57,0.25,0.18,2,0,Gironi
2018,Brazil,Switzerland,0.655,0.217,0.128,1,0,Gironi
2018,Sweden,South Korea,0.417,0.286,0.298,0,0,Gironi
2018,Belgium,Panama,0.629,0.228,0.143,0,0,Gironi
2018,Tunisia,England,0.145,0.229,0.626,2,2,Gironi
2018,Poland,Senegal,0.398,0.288,0.314,2,0,Gironi
2018,Russia,Egypt,0.418,0.286,0.297,0,0,Gironi
2018,Colombia,Japan,0.579,0.247,0.174,2,0,Gironi
2018,Portugal,Morocco,0.627,0.229,0.145,0,0,Gironi
2018,Uruguay,Saudi Arabia,0.713,0.189,0.097,0,0,Gironi
2018,Iran,Spain,0.184,0.252,0.564,2,2,Gironi
2018,Denmark,Australia,0.482,0.275,0.243,1,0,Gironi
2018,France,Peru,0.486,0.274,0.24,0,0,Gironi
2018,Argentina,Croatia,0.45,0.281,0.269,2,0,Gironi
